npieces: 50
capacity: 246899
1 4969 4818 
2 8418 7531 
3 5189 4733 
4 7102 7682 
5 3323 3535 
6 9687 9480 
7 6039 6104 
8 6559 6434 
9 6674 5976 
10 5591 4633 
11 5465 4494 
12 7467 7426 
13 6009 5599 
14 4967 5355 
15 4514 5215 
16 455 1027 
17 3187 2320 
18 5111 6007 
19 1649 2324 
20 1320 1317 
21 6867 6752 
22 7786 7438 
23 52 655 
24 682 141 
25 6323 6863 
26 8426 8783 
27 9084 8477 
28 6906 6990 
29 5677 5224 
30 6008 6670 
31 1475 2468 
32 2341 2770 
33 2200 1822 
34 8880 8012 
35 2361 2071 
36 7615 7456 
37 6502 6927 
38 736 1315 
39 1096 2079 
40 9848 8885 
41 7242 7890 
42 4904 5880 
43 1303 2065 
44 2746 2444 
45 10600 9834 
46 7302 6393 
47 2549 2988 
48 4872 4552 
49 2813 3010 
50 3244 3023 
