npieces: 50
capacity: 150990
1 3758 3758 
2 2555 2555 
3 6151 6151 
4 8135 8135 
5 8473 8473 
6 6901 6901 
7 2942 2942 
8 493 493 
9 1035 1035 
10 9198 9198 
11 8596 8596 
12 6674 6674 
13 4132 4132 
14 174 174 
15 270 270 
16 6740 6740 
17 6916 6916 
18 683 683 
19 2837 2837 
20 5787 5787 
21 6442 6442 
22 5564 5564 
23 5438 5438 
24 6748 6748 
25 7771 7771 
26 3608 3608 
27 8103 8103 
28 8363 8363 
29 6907 6907 
30 4156 4156 
31 9135 9135 
32 5213 5213 
33 1276 1276 
34 3707 3707 
35 9075 9075 
36 9867 9867 
37 1696 1696 
38 1663 1663 
39 7745 7745 
40 5010 5010 
41 4620 4620 
42 3406 3406 
43 2778 2778 
44 4472 4472 
45 6827 6827 
46 5241 5241 
47 2377 2377 
48 7497 7497 
49 4443 4443 
50 6878 6878 
