npieces: 100
capacity: 249276217
1 138144 4389687 
2 6229204 2482120 
3 8398522 2592034 
4 1096346 6133231 
5 3569251 5833748 
6 3361743 1287957 
7 6762739 6508525 
8 1181217 5494399 
9 5741184 5754733 
10 6696824 2305574 
11 8020385 1676099 
12 8442377 548687 
13 6162125 7059380 
14 4700552 7376968 
15 9200225 7403620 
16 1998714 8824128 
17 5940800 8106437 
18 6643368 1457988 
19 4885012 2897561 
20 383791 5410898 
21 8167091 9090341 
22 5781173 3008667 
23 8354846 9494388 
24 9181110 1997530 
25 471971 1371844 
26 2566652 4554444 
27 5098658 2710930 
28 6629933 8250187 
29 259564 9141053 
30 738814 5149323 
31 8477767 1635929 
32 1718406 4512239 
33 2913678 4060563 
34 5577005 6361737 
35 5377781 7318460 
36 2741571 3415085 
37 8147819 7933300 
38 3476397 5946288 
39 7290520 5072628 
40 9904313 6169794 
41 9953158 9695863 
42 2461715 5324005 
43 8475739 6966470 
44 2835409 3324681 
45 3850308 9029727 
46 7082793 6931142 
47 8155758 8987969 
48 3699010 7244341 
49 2807086 3107031 
50 1107367 1460332 
51 7994561 5945598 
52 8355416 3244692 
53 5016749 3875125 
54 6758523 8364072 
55 1826758 2601824 
56 9348272 7263179 
57 4405580 6652089 
58 6211714 2486982 
59 2088754 3390804 
60 7896825 7044894 
61 9628666 9824588 
62 7772620 2462030 
63 5587259 3015951 
64 7876531 7066790 
65 3273668 3376323 
66 5440475 1600448 
67 9857243 8775508 
68 4841459 1175322 
69 351390 4981532 
70 2008803 3346133 
71 9496843 5664301 
72 386333 3497609 
73 1850395 8270398 
74 277387 4712003 
75 3541384 3519279 
76 6695592 184604 
77 7229488 5899194 
78 3660843 6258039 
79 6393362 2761656 
80 5138013 4996182 
81 6176757 5662733 
82 693644 6501081 
83 1485223 3894322 
84 8885528 9988565 
85 1706723 1004765 
86 1115434 5400589 
87 6527692 2538319 
88 5149317 1130384 
89 950806 298938 
90 1692276 2048943 
91 8913988 326604 
92 5807459 1117848 
93 4208139 1730908 
94 9389706 1399955 
95 7224150 3886768 
96 7350724 3241689 
97 3335523 1564649 
98 6915582 7227148 
99 5228810 9436940 
100 3243082 1567448 
