npieces: 50
capacity: 2179507
1 70334 60395 
2 109329 99239 
3 31165 21261 
4 108020 98054 
5 74651 64567 
6 31380 21349 
7 18909 9000 
8 50851 40807 
9 104668 94720 
10 28264 18277 
11 24200 14159 
12 81464 71558 
13 44674 34743 
14 85207 75255 
15 52904 42816 
16 61243 51240 
17 30380 20408 
18 107317 97347 
19 9936 36 
20 103361 93449 
21 80329 70280 
22 97719 87627 
23 82372 72399 
24 30378 20354 
25 21004 10904 
26 15286 5195 
27 61981 51933 
28 96886 86947 
29 61000 50913 
30 17111 7066 
31 96986 86933 
32 68398 58487 
33 103203 93255 
34 35440 25480 
35 97646 87655 
36 67145 57188 
37 13134 3095 
38 33764 23712 
39 38254 28335 
40 50819 40842 
41 23893 13962 
42 21583 11493 
43 90746 80721 
44 80745 70785 
45 39799 29890 
46 46148 36054 
47 45574 35581 
48 97118 87037 
49 101151 91242 
50 57354 47435 
