npieces: 100
capacity: 37157632
1 374040 474040 
2 717613 817613 
3 94289 194289 
4 794089 894089 
5 886099 986099 
6 301271 401271 
7 249416 349416 
8 409023 509023 
9 173461 273461 
10 374928 474928 
11 166590 266590 
12 147844 247844 
13 251518 351518 
14 469680 569680 
15 626616 726616 
16 324070 424070 
17 463822 563822 
18 912781 1012781 
19 240111 340111 
20 828429 928429 
21 32436 132436 
22 334782 434782 
23 543272 643272 
24 522094 622094 
25 657013 757013 
26 209146 309146 
27 62193 162193 
28 130237 230237 
29 798197 898197 
30 906462 1006462 
31 893689 993689 
32 804095 904095 
33 253286 353286 
34 206861 306861 
35 893133 993133 
36 337533 437533 
37 510218 610218 
38 268529 368529 
39 705643 805643 
40 619156 719156 
41 958374 1058374 
42 66400 166400 
43 676420 776420 
44 342122 442122 
45 326021 426021 
46 299739 399739 
47 311059 411059 
48 941755 1041755 
49 325861 425861 
50 658032 758032 
51 638037 738037 
52 706001 806001 
53 832259 932259 
54 184639 284639 
55 248740 348740 
56 665234 765234 
57 539198 639198 
58 245913 345913 
59 627636 727636 
60 23923 123923 
61 524266 624266 
62 105732 205732 
63 549352 649352 
64 773451 873451 
65 431988 531988 
66 561435 661435 
67 44370 144370 
68 512386 612386 
69 795373 895373 
70 927442 1027442 
71 353350 453350 
72 719144 819144 
73 791157 891157 
74 539864 639864 
75 968409 1068409 
76 956258 1056258 
77 845957 945957 
78 790293 890293 
79 304379 404379 
80 138110 238110 
81 112984 212984 
82 167827 267827 
83 515758 615758 
84 106536 206536 
85 904055 1004055 
86 821048 921048 
87 313954 413954 
88 699958 799958 
89 13152 113152 
90 605361 705361 
91 646831 746831 
92 750814 850814 
93 315858 415858 
94 290539 390539 
95 142254 242254 
96 781767 881767 
97 702520 802520 
98 650363 750363 
99 863925 963925 
100 420924 520924 
