Iteration;Time;BestFitness;PrevFitness;FirstFitness;SecondFitness;1stHeur;2ndHeur;1st-LOC;2nd-LOC;NewBestCntAll;NewBestCntValid;SpentIter;ValidSpentIter;SpentTime;After-LLH0;After-LLH1;After-LLH2;After-LLH3;After-LLH4;After-LLH5;After-LLH6;After-LLH7;RelayProb-LLH0;RelayProb-LLH1;RelayProb-LLH2;RelayProb-LLH3;RelayProb-LLH4;RelayProb-LLH5;RelayProb-LLH6;RelayProb-LLH7;
3;0,017;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
4;0,026;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
6;0,04;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
12;0,159;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
15;0,185;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
16;0,195;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
17;0,204;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
18;0,217;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
20;0,229;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
21;0,237;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
23;0,244;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
24;0,251;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
25;0,257;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0,0;;;;;;;;;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125
